‘„«—Â	œ«‰‘òœÂ	—‘ Â	Ã‰”Ì 	”«· Ê—Êœ	„⁄œ·	”Ê«· 1	”Ê«· 2	”Ê«· 3	”Ê«· 4	”Ê«· 5	”Ê«· 6	”Ê«· 7	”Ê«· 8	”Ê«· 9	”Ê«· 10	”Ê«· 11	”Ê«· 12	”Ê«· 13	”Ê«· 14	”Ê«· 15	”Ê«· 16	”Ê«· 17	”Ê«· 18	”Ê«· 19	”Ê«· 20	”Ê«· 21	”Ê«· 22	‰„—Â œ«‰‘ê«Â
175	«œ»Ì« 					4	5	2	5	4	5	1	1	5	5	5	1	5	4	5	5	5	4	4	5	5	5	9
176	«œ»Ì« 	«‰ê·Ì”Ì	“‰	94	18.5	2	2	5	5	4	5	5	5	5	5	4	2	3	3	3	2	4	3		3	4	2	8
177	«œ»Ì« 	«‰ê·Ì”Ì	“‰	94	16.57	1	1	3	2	2	4	4	3	5	5	5	3	3	1	2	3	4	3		4	4	1	8
178	«œ»Ì« 	 «—ÌŒ	“‰	95	16.9	4	4	3	3	4	3	1		3	4		3		1	1	1	1	1	1	4	2	1	6
179	«œ»Ì« 	çÌ‰Ì	„—œ	95	17.4		2	4	4	5	5	2	1	5	5	5	1	1	4	1	4	4	3	3	5	4	5	10
180	«œ»Ì« 		„—œ	93		1	1	4	3		2	1	1	1	2	3	1	1	1	1	1	3	1	4	2	2	2	7
181	«œ»Ì« 	›·”›Â	„—œ	94		4	4	4	4	4	3	3	3	2	4	4	1	3	3	3	4		3	4	4	2	2	8
182	«œ»Ì« 	⁄—»Ì	„—œ	95	17.25	2	2		3	4	4	1	1	2	5	5	1	4	2	2	1	1	1	1	2	2	5	8
183	«œ»Ì« 	›«—”Ì	“‰	95		2	4	4	1	3	2		1	3	5	5	1	1	1	4	1	2	1	3	3	4	3	7
184	«œ»Ì« 	 «—ÌŒ	„—œ	95		5	3		2	3	5	2	3	4	4	4	2	2	2	2	4	3	4	3	4	4	1	7
185	«œ»Ì« 					4	4	3	1	2	5	3	1	4	3	3	2	4	2	1	2	3	3	3	2	2	1	4
186	«œ»Ì« 	›«—”Ì	“‰	92	16.84	4	5	3	3	2	5	5	4	5	5		2	3	1	4	5	5	5	5	5	2	1	
187	«œ»Ì« 	çÌ‰Ì	“‰	93	16.94	3	4		5	4	3	2	1	2	3	4	2		3	2	4	4		3	4	3	2	8
188	«œ»Ì« 	›—«‰”ÊÌ	“‰	94		4	3	4	3	3	3	3	4	4	4	4	2	2	3	4	4	3		4	5	4	1	8
189	«œ»Ì« 	¬·„«‰Ì	“‰	93	16	1	3	5	4		2	1	1	4		4	4	4	4	5	1	1	2	5	3	1	1	5
190	«œ»Ì« 	«‰ê·Ì”Ì	“‰	95	18.15	4		5	5	4	5	5	5	1	5	5	3	4	1	2	3	4		4	4	4	2	7
191	«œ»Ì« 	›«—”Ì	“‰	93		4	1	4			4	5	5	4	4	5	3	3	1		4	4	4	4	4	4	4	6
192	„œÌ—Ì 	Õ”«»œ«—Ì	“‰	92	15.5	2	1	3	1	3	3	2	2	4	3	5	2	2	2	2	2	3	3	3	2	2	1	4
193	„œÌ—Ì 	Õ”«»œ«—Ì	“‰	92		4	4	5	4	4	4	4	4	4	4	4	3	3	3	3	3	3	4	4	4	4	4	7
194	„œÌ—Ì 	„œÌ—Ì  œÊ· Ì	„—œ	95		2	1	4	1	1	5	3	1	4	5	4	3	3	1	1	1	2	1	2	4	4	3	3
195	„œÌ—Ì 	„œÌ—Ì  „«·Ì	“‰	95		2	3	4	4	3	1	4	1	4	5	5	4	2	2	3	4	2	2	3	2	3	2	5
196	„œÌ—Ì 	„œÌ—Ì  „«·Ì	“‰	95	15.02	2	4	3	2	3	5	1	4	4	2	4	2	2	1	3	2	3	4	4	4	3	1	6
197	„œÌ—Ì 	„œÌ—Ì  „«·Ì	“‰	95		1	1	2	1	1	1	1	1	3	3	4	2	2	2	3	3	2	2	4	4	2	1	1
198	„œÌ—Ì 	„œÌ—Ì  œÊ· Ì	„—œ	95		1	1	3	3	2	2	3	1	4	4	4	1	3	1	1	2	3	2	3	3	2	4	4
199	„œÌ—Ì 	„œÌ—Ì  »«“—ê«‰Ì	“‰	93	17	4	5	2	3	5	4	3	2	2	2	2	4	4	4	4	2	3	3	4	2	4	5	7
200	„œÌ—Ì 	„œÌ—Ì  »«“—ê«‰Ì	„—œ	92	15	2	2	4	2	2	2	3	1	5	5	3	3	2	1	2	2	3	4	4	3	3	1	5
201	„œÌ—Ì 	„œÌ—Ì  „«·Ì	“‰	94	18.8	3	2	4	4	2	1	4	1	3	3	3	1	2	1	3	2	3	4	3	2	1	1	4
202	„œÌ—Ì 	„œÌ—Ì  »«“—ê«‰Ì	“‰	91	16	4	2	2	2	3	3	3	4	2	4	3	2	2	3	2	4	4	2	2	4	3	3	6
203	„œÌ—Ì 	„œÌ—Ì  ’‰⁄ Ì	“‰	94	14	2	2	4	4	2	4	4	1	5	5	5	1	4	5	4	2	4	4	4	3	2	2	6
204	„œÌ—Ì 	„œÌ—Ì  œÊ· Ì	“‰	93	18.5	4	4	4	4	4	4	2	2	4	4	4	4	4	1	2	2	4	4	4	2	4	2	5
205	„œÌ—Ì 	„œÌ—Ì  ’‰⁄ Ì	“‰	93		1	2	4	4	4	3	2	2	3	3	5	3	2	2	2	2	2	4	2	3	2	1	7
206	„œÌ—Ì 	„œÌ—Ì  ’‰⁄ Ì	“‰	93	16.53	3	4	4	2	2	2	2	1	4	4	4	4	4	2	3	4	4	3	4	3	2	4	7
207	„œÌ—Ì 	„œÌ—Ì  ’‰⁄ Ì	“‰	93	16.5	2	2	4	4	4	2	4	2	3	4	5	4	4	2	3	2	4	3	3	4	3	4	7
208	„œÌ—Ì 	„œÌ—Ì  ’‰⁄ Ì	“‰	93		1	2	4	3	4	2	1	1	2	1	3	1	2	1	1	1	2	2	4	2	2	1	4
209	„œÌ—Ì 	„œÌ—Ì  ’‰⁄ Ì	“‰	93	14.73	1	1	1	1	1	1	3	1	4	4	4	1	1	1	1	1	1	1	4	3	1	1	3
210	„œÌ—Ì 	„œÌ—Ì  ’‰⁄ Ì	“‰	92	14	1	1	3	3	4	3	2	2	4	5	5	1	2	3	1	3	1	1	1	4	3	1	6
211	„œÌ—Ì 	„œÌ—Ì  œÊ· Ì	“‰	95	16	1	1	4	3	4	4	5	3	2	1	3	3	2	2	3	3	4	2	3	3	3	1	8
212	„œÌ—Ì 	„œÌ—Ì  œÊ· Ì	“‰	95	17	1	1	3	4	4	4	4	2	3	4	4	3	3	2	2	3	4	4	4	4	3	1	7
213	„œÌ—Ì 	„œÌ—Ì  »«“—ê«‰Ì	“‰	95		1	2	3	3	2	4	2	2	4	5	4	3	3	2	3	2	2	2	4	4	3	3	7
214	„œÌ—Ì 	„œÌ—Ì  ’‰⁄ Ì	„—œ	92	16	2	2	3	1	2	4	4	2	3	3	5	1	3	2	3	3	3	5	5	4	2	2	5
215	„œÌ—Ì 	„œÌ—Ì  ’‰⁄ Ì	„—œ	94	16.98	4	5	3	3	3	2	4	2	4	4	4	2	3	2	3	3	4	3	4	4	2	1	6
216	„œÌ—Ì 	„œÌ—Ì  „«·Ì	“‰	91	13	2	1	4	3	4	2	2	4	4	4	5	2	5	3	1	4	4	4	4	5	2	2	7
217	„œÌ—Ì 	„œÌ—Ì  „«·Ì	„—œ	95	17.21	4	4	4	3	2	3	5	1	5	5	5	4	5	4	2	4	4	4	3	4	4	4	8
218	„œÌ—Ì 	„œÌ—Ì  „«·Ì	„—œ	94	15	5	3	3	2	2	3	1	1	3	4	5	1	4	4	1	4	3	4	4	3	2	1	5
219	„œÌ—Ì 	„œÌ—Ì  »«“—ê«‰Ì	“‰	94	18.62	2	3	4	3	3	2	2	2	4	5	4	3	4	2	2	3	3	3	4	3	3	1	7
220	„œÌ—Ì 	„œÌ—Ì  ’‰⁄ Ì	“‰	92	14	1	1	4	4	4	2	1	1	2	4	3	3	2	2	3	2	1	1	1	4	3	1	6
221	„œÌ—Ì 	„œÌ—Ì  ’‰⁄ Ì	“‰	93	16.5	1	2	4	3	4	3	4	2	3	4	4	2	4	1	3	2	4	3	4	4	3	4	8
222	„œÌ—Ì 	„œÌ—Ì  »«“—ê«‰Ì	“‰	93	17	2	2	3	2	3	2	4	3	2	2	2	4	4	4	3	2	4	4	4	3	4	5	7
223	„œÌ—Ì 	„œÌ—Ì  »«“—ê«‰Ì	„—œ	94	12.4	3	2	4	4	4	5	2	2	4	5	5	4	3	3	1	2	4	4	5	4	4	3	7.5
224	„œÌ—Ì 	„œÌ—Ì  »«“—ê«‰Ì	“‰	94	16.57	3	4	2	3	1	2	2	1	3	4	4	2	1	1	1	3	3	2	4	2	2	2	5
225	„œÌ—Ì 	„œÌ—Ì  ’‰⁄ Ì	“‰	92		1	1	2	3	3	4	2	3	4	4	4	4	4	2	3	2	3	2	2	3	3	2	6
226	„œÌ—Ì 	Õ”«»œ«—Ì	“‰	95	16.37	4	3	2	1	1	1	1	1	4	4	5	1	4	1	2	2	1	1	1	2	1	1	3
227	„œÌ—Ì 	„œÌ—Ì  »«“—ê«‰Ì	„—œ	93	16.3	3	1	3	1	1	1	3	3	3	2	3	1	1	1	1	1	3	1	3	4	2	1	3
228	„œÌ—Ì 	Õ”«»œ«—Ì	“‰	95		2	2	4	3	4	4	3	2	4	4	4	1	1	2	2	4	4	3	3	4	2	1	7
229	„œÌ—Ì 	„œÌ—Ì  œÊ· Ì	„—œ	95	19.03	2	3	4	4	4	5	4	3	3	4	5	3	3	4	2	3	3	3	3	3	4	3	8
230	„œÌ—Ì 	Õ”«»œ«—Ì	“‰	95	17	1	1	1	2	1	1	3	3	3	5	5	3	3	3	3	2	4	4	4	2	3	1	2
231	„œÌ—Ì 	Õ”«»œ«—Ì	„—œ	95	16.9	1	1	1	2	1	4	1	1	1	1	4	2	4	4	1	1	1	1	1	1	1	1	1
232	„œÌ—Ì 	Õ”«»œ«—Ì	“‰	94	15.5	2	3	2	1	1	1	1	1	2	4	4	1	1	1	2	1	1	3	3	4	1	1	3
233	„œÌ—Ì 	Õ”«»œ«—Ì	“‰	94	16	4	4	1	1	1	1	1	3	3	4	4	1	1	1	1	1	1	3	3	4	1	1	1
234	„œÌ—Ì 	Õ”«»œ«—Ì	“‰	94	15.75	4	2	1	1	1	2	1	1	2	3	3	1	1	1	1	1	1	3	3	4	1	1	2
235	„œÌ—Ì 	„œÌ—Ì  „«·Ì	„—œ	95	16	1	3	3	2	2	3	1	2	4	5	3	5	4	1	2	2	2	2	3	3	3	1	6
236	„œÌ—Ì 	„œÌ—Ì  »«“—ê«‰Ì	“‰	93	17	4	2	3	3	4	1	4	1	3	2	3	1	2	1	1	2	2	4	1	3	1	1	4
237	„œÌ—Ì 	„œÌ—Ì  ’‰⁄ Ì	„—œ	93	14	2	2	3	3	2	3	2	2	3	3	4	3	4	2	3	3	3	2	3	3	3	3	5
238	„œÌ—Ì 	„œÌ—Ì  »«“—ê«‰Ì	“‰	94	19.19	3	5	4	4	4	2	1	2	3	4	4	1	3	1	4	4	5	3	4	4	2	1	8
239	„œÌ—Ì 	„œÌ—Ì  »«“—ê«‰Ì	“‰	95	15	4	4	2	2	2	4	2	1	4	3	4	3	4	3	2	2	3	3	3	4	2	2	7
240	„œÌ—Ì 	„œÌ—Ì  ’‰⁄ Ì	“‰	93	16	1	1	4	2	4	4	1	4	4	3	1	3	1	3	4	3	3	1	3	2	3	1	5
241	„œÌ—Ì 	„œÌ—Ì  „«·Ì	“‰	93		2	1	4	2	3	1	4	4	2	3	4	2	4	3	3	4	3	3	2	2	1	2	7
242	„œÌ—Ì 	„œÌ—Ì  »«“—ê«‰Ì	„—œ	95		1	1	1	1	1	1	1	1	2	4	4	3	2	1	1	4	3	3	3	2	2	4	3
243	„œÌ—Ì 	„œÌ—Ì  »«“—ê«‰Ì	„—œ	95		1	2	2	2	2	1	1	1	3	4	4	2	2	1	1	3	1	1	1	3	3	2	6
244	„œÌ—Ì 	„œÌ—Ì  „«·Ì	„—œ	95		4	4	5	3	5	5	1	3	3	4	4	2	3	3	2	2	3	2	4	3	2	4	6
245	„œÌ—Ì 	„œÌ—Ì  „«·Ì	„—œ	95		1	2	2	3	4	3	1	1	5	4	4	5	3	3	1	2	3	3	2	4	4	1	6.5
246	„œÌ—Ì 	„œÌ—Ì  „«·Ì	„—œ	95		4	4	5	3	4	4	4	4	5	5	5	3	4	4	3	3	4	3	4	4	3	3	7
247	„œÌ—Ì 	„œÌ—Ì  „«·Ì	“‰	92		4	2	3	3	4	1	3	1	2	3	3	1	1	1	1	1	2	2	2	3	1	1	5
248	„œÌ—Ì 	„œÌ—Ì  „«·Ì	“‰	92	16	2	2	2	2	3	2	3	1	3	4	5	1	4	4	4	3	2	2	4	5	1	1	5
249	„œÌ—Ì 	„œÌ—Ì  ’‰⁄ Ì	„—œ	95	18.2	4	3	4	1	2	4	1	3	3	4	5	1	2	1	1	1	1	1	4	3	2	1	7
250	„œÌ—Ì 	„œÌ—Ì  ’‰⁄ Ì	„—œ	95	17.2	4	4	4	4	3	4	4	5	5	5	4	5	4	4	4	5	4	2	5	5	5	5	8
251	„œÌ—Ì 	„œÌ—Ì  ’‰⁄ Ì	„—œ	95		1	1	4	3	3	4	1	2	3	3	4	1	3	2	2	3	3	2	2	3	2	2	6
252	„œÌ—Ì 	„œÌ—Ì  ’‰⁄ Ì	„—œ	95	19.22	3	4	5	4	5	5	5	4	4	4	5	3	3	3	2	4	2	1	3	4	5	3	8
253	„œÌ—Ì 	„œÌ—Ì  ’‰⁄ Ì	„—œ	93		2	3	3	4	3	4	4	3	3	4	3	2	3	3	2	2	2	2	3	4	4	3	7
254	„œÌ—Ì 	Õ”«»œ«—Ì	„—œ	92	12.3	1	2	2	1	4	4	1	1	3	4	3	2	3	3	2	1	2	1	3	4	4	1	1
255	„œÌ—Ì 	Õ”«»œ«—Ì	„—œ	95	16	1	4	5	3	3	5	1	3	1	4	5	4	1	3	1	1	1	1	1	3	3	4	5
256	„œÌ—Ì 	„œÌ—Ì  »«“—ê«‰Ì	“‰	93	14.5	1	2	4	3	4	4	4	2	3	3	4	4	3	1	2	4	3	2	3	2	1	3	6
257	„œÌ—Ì 	„œÌ—Ì  „«·Ì	“‰	92	16.68	1	1	1	2	1	3	3	4	5	5	5	1	4	3	3	5	5	3	4	5	3	5	5
258	„œÌ—Ì 	„œÌ—Ì  »«“—ê«‰Ì	“‰	92	14	3	1	4	1	1	2	3	2	5	5	5	1	1	2	3	5	3	4	4	5	1	1	5
259	„œÌ—Ì 	„œÌ—Ì  œÊ· Ì	„—œ	95	17	1	2	4	3	2	2	4	2	5	5	4	2	4	3	2	5	5	4	3	2	2	1	5
260	„œÌ—Ì 	Õ”«»œ«—Ì	„—œ	93	14	3	2	3	4	3	4	3	3	4	4	3	3	4	4	2	2	3	3	3	4	4	3	8
261	„œÌ—Ì 	„œÌ—Ì  œÊ· Ì	“‰	95		1	1	2	3	2	4	1	3	3	3	4	4	4	3	3	3	4	3	3	3	2	1	5
262	„œÌ—Ì 	„œÌ—Ì  œÊ· Ì	“‰	95		2	3	4	2	1	3	1	1	3	4	4	2	2	2	1	5	2	2	3	3	3	1	5
263	„œÌ—Ì 	Õ”«»œ«—Ì	„—œ	93	17	3	2	4	3	3	4	2	2	3	4	4	3	3	2	1	4	4	2	3	4	3	3	6
264	„œÌ—Ì 	Õ”«»œ«—Ì	„—œ	93	17	2	3	4	1	2	4	2	2	3	4	3	2	2	4	2	2	2	2	3	2	4	4	4
265	„œÌ—Ì 	Õ”«»œ«—Ì	„—œ	93	17.85	4	4	3	3	4	1	3	1	3	4	5	1	3	1	4	5	4	3	3	4	1	4	6
266	„œÌ—Ì 	„œÌ—Ì  œÊ· Ì	“‰	92	14	2	4	4	2	4	2	4	4	1	2	4	2	5	3	5	4	2	2	4	5	2	1	8
267	„œÌ—Ì 	„œÌ—Ì  œÊ· Ì	“‰	92	14	2	1	2	3	3	1	2	1	2	2	4	3	5	2	3	3	3	3	3	4	2	1	7
268	„œÌ—Ì 	„œÌ—Ì  »«“—ê«‰Ì	“‰	94	17	1	3	2	2	3	4	4	3	4	4	5	1	1	2	3	4	4	2	3	3	1	1	3
269	„œÌ—Ì 	„œÌ—Ì  œÊ· Ì	“‰	95	18.14	4	2	4	2	4	5	4	3	3	4	4	3	2	1	2	4	3	3	4	4	5	1	5
270	„œÌ—Ì 	„œÌ—Ì  »«“—ê«‰Ì	“‰	95	14.32	3	4	3	3	2	4	2	2	2	2	4	3	3	2	2	2	3	3	3	4	2	1	7
271	„œÌ—Ì 	„œÌ—Ì  ’‰⁄ Ì	“‰	95	17.71	1	3	4	2	4	4	1	2	4	5	5	2	5	2	1	1	4	3	4	4	4	1	7
272	„œÌ—Ì 	Õ”«»œ«—Ì	“‰	95	17.7	2	5	4	4	2	4	4	2	4	4	5	5	2	2	2	2	3	3	3	4	2	2	7
273	„œÌ—Ì 	„œÌ—Ì  »«“—ê«‰Ì	“‰	95	17.18	1	1	2	4	3	2	2	3	4	4	4	2	3	1	1	1	4	1	1	3	1	3	5
274	„œÌ—Ì 	Õ”«»œ«—Ì	“‰	94	16	3	1	2	2	1	1	2	1	1	1	2	1	2	2	2	1	2	1	1	2	1	1	2
275	„œÌ—Ì 	„œÌ—Ì  »«“—ê«‰Ì	„—œ	95		2	2	4	4	5	5	3	1	3	3	2	2	4	1	3	2	4	4	3	3	3	1	7
276	„œÌ—Ì 	„œÌ—Ì  „«·Ì	“‰	94	16.15	4	4	3	4	3	2	4	2	3	3	5	4	4	2	4	2	3	4	3	3	4	1	6
277	„œÌ—Ì 	„œÌ—Ì  »«“—ê«‰Ì	“‰	93	15	2	1	1	1	2	1	2	5	3	5	5	1	4	1	2	3	4	4	3	3	3	1	7
278	„œÌ—Ì 	„œÌ—Ì  œÊ· Ì	“‰	94		4	5	5	5	5	5	4	5	5	5	5	3	3	3	5	5	5	5	5	5	5	5	3
279	„œÌ—Ì 	„œÌ—Ì  ’‰⁄ Ì	“‰	93		1	2	4	3	4	2	3	1	2	1	5	1	2	2	3	3	3	3	3	4	3	1	5
280	„œÌ—Ì 	„œÌ—Ì  ’‰⁄ Ì	“‰	93	12	2	2	3	4	2	1	1	1	4	5	5	1	4	1	3	2	1	1	3	2	1	1	5
281	„œÌ—Ì 	„œÌ—Ì  ’‰⁄ Ì	„—œ	93		3	4	3	4	3	3	4	2	3	3	3	2	4	2	3	2	2	2	3	4	4	4	5
282	„œÌ—Ì 	„œÌ—Ì  ’‰⁄ Ì	„—œ	93	17	2	2	3	1	4	4	2	3	4	4	4	2	4	2	2	2	2	2	3	3	3	1	5
283	„œÌ—Ì 	„œÌ—Ì  ’‰⁄ Ì	„—œ	93	16	3	4	4	3	3	2	3	5	3	2	3	5	3	4	3	5	4	3	4	4	2	5	5
284	„œÌ—Ì 	„œÌ—Ì  œÊ· Ì	“‰	93	17	1	1	3	3	3	3	2	1	2	2	3	2	2	2	1	1	3	3	3	3	3	1	4
285	„œÌ—Ì 	„œÌ—Ì  »«“—ê«‰Ì	“‰	95		1	2	3	3	3	4	4	4	3	4	3	3	3	2	3	3	4	3	4	4	3	3	6
286	„œÌ—Ì 	„œÌ—Ì  »«“—ê«‰Ì	“‰	95		1	2	3	3	3	4	4	2	3	4	3	2	3	1	3	4	3	3	4	4	3	3	6
287	„œÌ—Ì 	Õ”«»œ«—Ì	„—œ	95	17	2	3	4	3	3	3	3	2	1	2	4	2	3	3	2	4	4	3	3	2	2	1	5
288	„œÌ—Ì 	„œÌ—Ì  ’‰⁄ Ì	“‰	94	17	1	1	3	3	2	4	2	2	4	5	5	2	3	2	4	4	3	4	5	2	1	1	5
289	„œÌ—Ì 	„œÌ—Ì  œÊ· Ì	“‰	92	17.53	4	4	4	2	2	4	4	4	2	3	4	4	4	4	3	4	4	4	4	4	4	2	8
290	„œÌ—Ì 	„œÌ—Ì  œÊ· Ì	„—œ	95	18.3	4	2	4	3	3	5	2	3	4	5	5	4	4	4	4	5	5	2	4	4	4	5	9.25
291	„œÌ—Ì 	„œÌ—Ì  œÊ· Ì	„—œ	95	15	4	4	3	3	3	4	4	3	4	3	4	4	4	3	2	4	4	2	2	4	3	5	7.5
292	„œÌ—Ì 	„œÌ—Ì  »«“—ê«‰Ì	“‰	94		1	2	3	1	2	1	3	3	3	3	4	1	3	1	4	3	3	2	2	5	1	3	5
293	„œÌ—Ì 	„œÌ—Ì  »«“—ê«‰Ì	“‰	94	17	1	1	2	2	2	1	2	4	4	4	5	2	4	1	3	2	4	2	2	4	1	1	4
294	„œÌ—Ì 	ò«—¬›—Ì‰Ì	“‰	93	18	4	4	3	3	3	4	3	3	3	3	3	3	2	1	2	3	3	3	3	2	3	3	7
295	„œÌ—Ì 	„œÌ—Ì  œÊ· Ì	„—œ	95		4	4	3	3	4	5	2	1	3	5	5	4	4	4	2	5	4	2	4	4	3	5	8.25
296	„œÌ—Ì 	„œÌ—Ì  ’‰⁄ Ì	„—œ	91	14.5	2	3	2	1	3	4	2	4	4	4	4	2	4	3	4	1	2	3	3	3	3	1	5
297	„œÌ—Ì 	„œÌ—Ì  œÊ· Ì	„—œ	94	14	5	1	3	2	2	4	2	2	1	1	3	1	4	5	1	4	3	2	1	4	3	1	6
298	„œÌ—Ì 	„œÌ—Ì  »«“—ê«‰Ì	„—œ	93	14	2	4	4	3	4	3	4	2	4	2	3	1	4	1	1	2	2	4	3	4	2	4	6
299	„œÌ—Ì 	„œÌ—Ì  œÊ· Ì	“‰	93	17.7	4	4	4	4	4	5	5	4	5	5	5	4	4	3	3	4	4	4	4	4	4	2	8
300	„œÌ—Ì 	Õ”«»œ«—Ì	“‰	92	16.04	1	2	2	2	4	3	2	1	5	5	5	2	1	3	1	1	4	4	3	5	5	1	8
301	„œÌ—Ì 	„œÌ—Ì  œÊ· Ì	“‰	93		3	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	5	4	3	4	4	3	8
302	„œÌ—Ì 	„œÌ—Ì  œÊ· Ì	„—œ	93	17.5	4	3	4	3	4	4	2	4	4	4	5	2	3	4	3	4	4	4	4	4	3	3	6
303	„œÌ—Ì 	„œÌ—Ì  »«“—ê«‰Ì	„—œ	94	18	3	4	4	4	3	2	4	3	4	4	4	3	4	1	3	4	3	3	4	4	1	1	6
304	„œÌ—Ì 	„œÌ—Ì  »«“—ê«‰Ì	“‰	94	16.9	2	4	4	2	4	5	5	2	4	3	5	2	4	4	3	4	4	3	4	5	4	2	8
305	„œÌ—Ì 	„œÌ—Ì  ’‰⁄ Ì	„—œ	94	16.8	4	2	3	2	2	5	1	1	1	2	3	2	2	2	1	2	3	3	5	2	3	1	5
306	„œÌ—Ì 	„œÌ—Ì  ’‰⁄ Ì	„—œ	94	17.9	1	1	2	2	2	2	1	1	1	1	2	2	2	2	1	2	1	1	3	2	2	1	3
307	„œÌ—Ì 	„œÌ—Ì  ’‰⁄ Ì	“‰	94	15	1	2	3	2	3	3	2	2	4	4	4	1	1	1	2	2	4	4	4	4	3	1	6
308	„œÌ—Ì 	„œÌ—Ì  ’‰⁄ Ì	“‰	95		1	4	4	4	4	2	3	2	5	4	5		4	2	3	3	3	3	3	5	4	1	7
309	„œÌ—Ì 	„œÌ—Ì  »«“—ê«‰Ì	“‰	92	16	2	1	2	3	3	2	3	1	5	5	5	1	1	1	2	2	4	2	3	4	1	1	
310	„œÌ—Ì 	„œÌ—Ì  ’‰⁄ Ì	„—œ	95	17.2	2	2	4	4	4	3	5	1	1	5	5	1	3	2	2	3	4		2	5	2	1	6
311	„œÌ—Ì 	„œÌ—Ì  œÊ· Ì		95		1	1	4	3	4	2	3	3	4	5	5	5	5	3	3	3	2	2	2	3	3	1	
312	„œÌ—Ì 	„œÌ—Ì  œÊ· Ì	„—œ	95	15.11	1	4	4	3	2	4	2	1	5	5	5	4	4	1	2	3	3	4		4	3	1	6
313	—Ì«÷Ì	ò«„ÅÌÊ —	„—œ	93	17	2	4	4	4	2	3	3	4	4	4	4	3	4	4	3	2	3	4	4	3	3	3	6
314	—Ì«÷Ì	ò«„ÅÌÊ —	„—œ	93	13.4	3	3	2	1	1	1	1	2	5	5	5	1	4	3	3	3	4	4	5	3	1	1	7
315	—Ì«÷Ì	¬„«—	„—œ	93	14	1	1	2	2	2	4	4	3	5	3	4	1	1	3	1	1	2	3	4	1	2	1	3
316	—Ì«÷Ì	¬„«—	“‰	92	14	3	1	2	1	2	1	1	1	4	2	4	1	4	1	2	2	3	3	1	1	5	5	1
317	—Ì«÷Ì	—Ì«÷Ì	“‰	92	16.7	1	1	5	5	4	4	1	1	3	4	5	2	4	4	1	1	4	3	4	2	3	1	1
318	—Ì«÷Ì	¬„«—	“‰	92	16.2	3	2	4	3	3	2	4	4	4	4	2	2	3	2	3	2	2	2	4	3	3	2	7
319	—Ì«÷Ì	¬„«—	“‰	92	14.8	3	3	4	2	2	1	1	4	4	4	5	2	2	3	2	3	5	4	4	4	1	3	6
320	—Ì«÷Ì	¬„«—	“‰	92		1	3	4	4	4	4	4	5	3	2	3	3	3	2	3	4	3	3	2	4	3	4	8
321	—Ì«÷Ì	—Ì«÷Ì	“‰	92	17.7	2	1	4	4	3	4	3	4	3	4	3	1	1	2	3	2	3	3	2	2	3	2	4
322	—Ì«÷Ì	¬„«—	“‰	93	15	1	2	4	2	2	4	1	1	1	2	4	1	2	1	1	4	3	2	3	1	2	2	7
323	—Ì«÷Ì	¬„«—		89	3	3	2	3	3	4	3	4	1	3	4	4	3	3	4	3	3	3	3	3	4	3	2	8
324	—Ì«÷Ì	—Ì«÷Ì	“‰	92	13.95	1	5	4	3	2	2	2	2	4	4	5	4	3	4	3	2	3	3	3	3	1	3	4
325	—Ì«÷Ì	¬„«—	“‰	92		2	2	4	2	3	3	3	3	2	3	4	1	3	2	2	3	3	3	4	4	4	1	6
326	—Ì«÷Ì	¬„«—	“‰	92		3	4	4	4	4	3	2	4	3	2	5	4	3	4	2	3	4	3	4	2	3	2	7
327	—Ì«÷Ì	¬„«—	“‰	92	16.6	4	5	3	2	1	4	1	4	4	4	4	3	4	2	3	4	3	4	4	5	4	3	8
328	—Ì«÷Ì	¬„«—	“‰	92	15	1	2	4	2	3	4	4	1	2	4	5	3	3	2	3	2	2	3	4	5	4	1	5
329	—Ì«÷Ì	¬„«—	“‰	92		2	2	4	3	3	2	2	3	3	2	4	2	3	1	1	2	3	2	4	3	2	2	6
330	—Ì«÷Ì	—Ì«÷Ì	“‰	91		1	2	1	1	1	3	4	4	4	4	4	3	5	1	2	3	4	3	3	3	2	1	4
331	—Ì«÷Ì	—Ì«÷Ì	“‰	91		1	2	1	1	1	2	3	4	4	4	4	3	5	1	2	3	4	3	3	3	1	1	4
332	—Ì«÷Ì	—Ì«÷Ì	„—œ	91	14	1	2	4	4	4	1	1	1	2	1	3	2	4	1	1	1	3	3	3	1	1	1	2
333	—Ì«÷Ì	¬„«—	“‰	92	16.56	2	2	4	2	2	1	2	3	2	4	3	1	2	1	1	1	1	1	2	4	1	1	5
334	—Ì«÷Ì	—Ì«÷Ì	“‰	92	12.96	1	1	3	2	4	4	4	3	5	5	4	4	2	1	3	2	4	3	4	3	2	1	6
335	—Ì«÷Ì	—Ì«÷Ì	“‰	92		1	2	3	3	2	2	2	3	4	4	5	2	3	2	5	3	3	1	1	5	2	2	5
336	—Ì«÷Ì	¬„«—	“‰	92	16.29	2	2	4	3	3	1	1	4	5	5	5	3	4	3	4	5	5	5	4	4	3	3	8
337	—Ì«÷Ì	¬„«—	“‰	93	15	1	1	3	2	2	1	1	1	1	1	4	1	3	1	3	1	3	1	3	1	1	1	4
